Month Name,Agency,Description,Borough,# of Incidents,Response Times
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,10672,49.08
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2566,50.66
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,24,16.67
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,888,50.68
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1240,74.68
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,868,50.69
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,804,47.26
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,204,46.08
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,888,47.30
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1240,24.35
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,868,48.39
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,804,50.50
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,204,50.98
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,888,1.58
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1240,0.65
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,868,0.92
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,804,2.24
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,204,0.98
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,888,0.45
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,1240,0.32
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,868,0.00
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,804,0.00
2014 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,204,1.96
2014 / 11,FDNY,Average response time to structural fires,Bronx,694,309.47
2014 / 11,FDNY,Average response time to structural fires,Brooklyn,912,258.57
2014 / 11,FDNY,Average response time to structural fires,Manhattan,624,298.17
2014 / 11,FDNY,Average response time to structural fires,Queens,542,305.15
2014 / 11,FDNY,Average response time to structural fires,Staten Island,120,293.60
2014 / 11,FDNY,Average response time to structural fires,Unspecified,2,320.00
2014 / 11,FDNY,Average response time to non-structural fires,Bronx,256,357.66
2014 / 11,FDNY,Average response time to non-structural fires,Brooklyn,376,317.64
2014 / 11,FDNY,Average response time to non-structural fires,Manhattan,348,361.68
2014 / 11,FDNY,Average response time to non-structural fires,Queens,320,376.43
2014 / 11,FDNY,Average response time to non-structural fires,Staten Island,100,361.80
2014 / 11,FDNY,Average response time to non-structural fires,Unspecified,2,463.00
2014 / 11,FDNY,Average response time to non-fire emergencies,Bronx,9786,478.71
2014 / 11,FDNY,Average response time to non-fire emergencies,Brooklyn,14260,418.62
2014 / 11,FDNY,Average response time to non-fire emergencies,Manhattan,11474,445.80
2014 / 11,FDNY,Average response time to non-fire emergencies,Queens,9892,495.70
2014 / 11,FDNY,Average response time to non-fire emergencies,Staten Island,2276,440.93
2014 / 11,FDNY,Average response time to non-fire emergencies,Unspecified,4,481.00
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,924,458.50
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,1248,438.93
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,932,420.45
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1038,497.92
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,240,465.82
2014 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,4,309.00
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,16406,557.47
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,20112,542.19
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,16760,541.04
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,13666,594.41
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3082,558.73
2014 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,38,580.95
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,41202,740.73
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,50126,654.39
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,40864,685.28
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,32654,681.13
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,7156,636.66
2014 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,124,817.21
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4182,456.85
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,6606,411.53
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,5004,447.93
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,4678,467.60
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1106,435.57
2014 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,14,616.00
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,17166,521.52
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,21262,477.79
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,18044,500.72
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,14590,521.81
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,3274,488.31
2014 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,40,545.60
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,11836,58.40
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,13952,60.91
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,12246,66.67
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,9470,49.73
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,2192,55.84
2014 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,26,38.46
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,950,45.68
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,1288,73.91
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,972,53.29
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,862,49.65
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,220,50.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,4,0.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,950,52.42
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,1288,25.31
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,972,44.03
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,862,47.80
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,220,48.18
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,4,100.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,950,1.89
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,1288,0.62
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,972,2.06
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,862,2.09
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,220,1.82
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,4,0.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,950,0.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,1288,0.16
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,972,0.62
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,862,0.46
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,220,0.00
2014 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,4,0.00
2014 / 10,FDNY,Average response time to structural fires,Bronx,292,309.05
2014 / 10,FDNY,Average response time to structural fires,Brooklyn,406,260.94
2014 / 10,FDNY,Average response time to structural fires,Manhattan,301,302.48
2014 / 10,FDNY,Average response time to structural fires,Queens,247,304.38
2014 / 10,FDNY,Average response time to structural fires,Staten Island,59,282.97
2014 / 10,FDNY,Average response time to non-structural fires,Bronx,107,353.98
2014 / 10,FDNY,Average response time to non-structural fires,Brooklyn,171,300.47
2014 / 10,FDNY,Average response time to non-structural fires,Manhattan,168,347.21
2014 / 10,FDNY,Average response time to non-structural fires,Queens,159,374.97
2014 / 10,FDNY,Average response time to non-structural fires,Staten Island,43,354.09
2014 / 10,FDNY,Average response time to non-fire emergencies,Bronx,5331,467.36
2014 / 10,FDNY,Average response time to non-fire emergencies,Brooklyn,7521,399.29
2014 / 10,FDNY,Average response time to non-fire emergencies,Manhattan,6294,447.21
2014 / 10,FDNY,Average response time to non-fire emergencies,Queens,5008,476.57
2014 / 10,FDNY,Average response time to non-fire emergencies,Staten Island,1233,445.60
2014 / 10,FDNY,Average response time to non-fire emergencies,Unspecified,8,515.38
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,357,461.50
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,499,451.63
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,374,442.97
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,391,487.00
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,82,483.49
2014 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,1,605.00
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,7710,577.36
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,9074,548.50
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,7837,539.25
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,6136,582.82
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1461,569.65
2014 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,8,574.88
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,18469,791.23
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,21963,662.88
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,18671,709.52
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,14486,669.28
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,3164,622.87
2014 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,11,609.27
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2036,450.02
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,3122,396.05
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2438,446.13
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2092,446.41
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,502,429.40
2014 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,4,470.00
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,8431,531.81
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,10227,475.69
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,8941,493.06
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,6925,506.27
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1662,493.11
2014 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,10,482.45
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,5606,56.67
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6557,59.20
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,5768,65.55
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4467,51.69
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1080,51.48
2014 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,3,0.00
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,399,48.62
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,577,73.83
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,469,50.11
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,406,49.01
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,102,54.90
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,399,50.13
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,577,25.13
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,469,48.83
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,406,48.28
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,102,42.16
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,399,1.00
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,577,0.87
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,469,0.85
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,406,2.22
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,102,2.94
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,399,0.25
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,577,0.17
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,469,0.21
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,406,0.49
2014 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,102,0.00
2014 / 09,FDNY,Average response time to structural fires,Bronx,262,297.79
2014 / 09,FDNY,Average response time to structural fires,Brooklyn,342,257.88
2014 / 09,FDNY,Average response time to structural fires,Manhattan,241,290.50
2014 / 09,FDNY,Average response time to structural fires,Queens,181,331.98
2014 / 09,FDNY,Average response time to structural fires,Staten Island,39,326.15
2014 / 09,FDNY,Average response time to non-structural fires,Bronx,135,349.49
2014 / 09,FDNY,Average response time to non-structural fires,Brooklyn,196,299.98
2014 / 09,FDNY,Average response time to non-structural fires,Manhattan,176,399.68
2014 / 09,FDNY,Average response time to non-structural fires,Queens,162,352.94
2014 / 09,FDNY,Average response time to non-structural fires,Staten Island,54,402.59
2014 / 09,FDNY,Average response time to non-fire emergencies,Bronx,4889,471.09
2014 / 09,FDNY,Average response time to non-fire emergencies,Brooklyn,6984,404.64
2014 / 09,FDNY,Average response time to non-fire emergencies,Manhattan,5886,431.51
2014 / 09,FDNY,Average response time to non-fire emergencies,Queens,4787,449.72
2014 / 09,FDNY,Average response time to non-fire emergencies,Staten Island,1162,434.30
2014 / 09,FDNY,Average response time to non-fire emergencies,Unspecified,4,555.25
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,338,456.45
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,473,447.36
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,379,430.11
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,414,476.05
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,100,496.99
2014 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,1,697.00
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,7472,568.12
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,8963,539.46
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,7801,525.72
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,6109,579.92
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1436,561.94
2014 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,4,684.25
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,17831,784.49
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,21584,661.00
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,18473,641.72
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,14293,647.25
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,3179,622.04
2014 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,17,788.18
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,1998,449.22
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,2972,401.84
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2395,436.47
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2231,444.69
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,545,436.26
2014 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,1,711.00
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,8172,524.99
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,10088,469.23
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,8786,478.97
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,6817,501.46
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1598,484.02
2014 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,6,617.33
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,5503,57.84
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6394,62.11
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,5834,67.28
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4493,51.88
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1058,51.51
2014 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,4,50.00
